Dataset,Algoritmo,Rapporto compressione,Tempo compressione,Dimensione iniziale,Dimensione finale
ArtGallery2,UTVIDEO,1.089838661323085,1.6177558898925781,89260099,81902122
ArtGallery2,MagicYUV,1.0357474623519096,1.0133287906646729,89260099,86179404
ArtGallery2,MPEG4,328.6284911676129,0.8945910930633545,89260099,271614
ArtGallery2,ProRes,2.1607662795923406,2.141000509262085,89260099,41309465
ArtGallery2_random,UTVIDEO,1.089838661323085,2.267296314239502,89260099,81902122
ArtGallery2_random,MagicYUV,1.0357474623519096,1.193070411682129,89260099,86179404
ArtGallery2_random,MPEG4,182.97077923409,1.0492784976959229,89260099,487838
ArtGallery2_random,ProRes,2.1607662795923406,2.3980209827423096,89260099,41309465
Dragons,UTVIDEO,0.8825794910972156,2.387986898422241,11799966,13369862
Dragons,MagicYUV,0.8716411617325972,6.482944011688232,11799966,13537642
Dragons,MPEG4,55.65811667484246,1.0069301128387451,11799966,212008
Dragons,ProRes,1.693696660063623,2.218846321105957,11799966,6966989
Dragons_random,UTVIDEO,0.8825794910972156,1.499725341796875,11799966,13369862
Dragons_random,MagicYUV,0.8716107723719863,0.909416675567627,11799966,13538114
Dragons_random,MPEG4,46.14228287647128,0.7475166320800781,11799966,255730
Dragons_random,ProRes,1.693696660063623,1.1687476634979248,11799966,6966989
OpEX,UTVIDEO,0.6765794899644857,4.261733055114746,73800556,109078914
OpEX,MagicYUV,0.6675634986048299,4.293838739395142,73800556,110552114
OpEX,MPEG4,61.21306797917112,5.175073146820068,73800556,1205634
OpEX,ProRes,0.9901054862243959,5.331007242202759,73800556,74538074
OpEX_random,UTVIDEO,0.5629510544596426,4.594324588775635,73800556,131095866
OpEX_random,MagicYUV,0.556197727133953,3.873809337615967,73800556,132687626
OpEX_random,MPEG4,25.507521897247628,4.554135322570801,73800556,2893286
OpEX_random,ProRes,0.8252539400742452,6.013890027999878,73800556,89427693
Fish,UTVIDEO,0.6588890813164409,1.0231897830963135,7357987,11167262
Fish,MagicYUV,0.5058896578315267,1.7159147262573242,7357987,14544648
Fish,MPEG4,40.740545718303935,1.2056000232696533,7357987,180606
Fish,ProRes,1.5584016167757,1.2230110168457031,7357987,4721496
Fish_random,UTVIDEO,0.6588890813164409,0.5886330604553223,7357987,11167262
Fish_random,MagicYUV,0.5057981285848626,0.7446351051330566,7357987,14547280
Fish_random,MPEG4,35.55407534114191,0.63041090965271,7357987,206952
Fish_random,ProRes,1.5584016167757,0.9975099563598633,7357987,4721496
Dice,UTVIDEO,0.4699308416561147,0.5874824523925781,3131543,6663838
Dice,MagicYUV,0.43741716914591194,0.693143367767334,3131543,7159168
Dice,MPEG4,17.873287749417834,0.6658422946929932,3131543,175208
Dice,ProRes,0.5831074517371857,0.9224498271942139,3131543,5370439
Dice_random,UTVIDEO,0.4699308416561147,0.5515515804290771,3131543,6663838
Dice_random,MagicYUV,0.4376051900953761,0.6531004905700684,3131543,7156092
Dice_random,MPEG4,14.842561521252797,0.5991184711456299,3131543,210984
Dice_random,ProRes,0.5831074517371857,0.8513927459716797,3131543,5370439
Messerschmitt,UTVIDEO,1.0279917567211616,0.5947232246398926,8859161,8617930
Messerschmitt,MagicYUV,0.9739104691439022,0.629410982131958,8859161,9096484
Messerschmitt,MPEG4,38.26487763581863,0.5887572765350342,8859161,231522
Messerschmitt,ProRes,1.1750072450168543,0.9073994159698486,8859161,7539665
Messerschmitt_random,UTVIDEO,1.0279917567211616,0.5464396476745605,8859161,8617930
Messerschmitt_random,MagicYUV,0.9736518700062645,0.5905513763427734,8859161,9098900
Messerschmitt_random,MPEG4,29.915246739739718,0.580986738204956,8859161,296142
Messerschmitt_random,ProRes,1.1750072450168543,0.9614801406860352,8859161,7539665
Shrubbery,UTVIDEO,1.2375813273021057,0.5980606079101562,27844221,22498902
Shrubbery,MagicYUV,1.1690475822605113,0.6066849231719971,27844221,23817868
Shrubbery,MPEG4,34.63073733383746,0.5803384780883789,27844221,804032
Shrubbery,ProRes,3.651062358401822,1.4135451316833496,27844221,7626334
Shrubbery_random,UTVIDEO,1.2375813273021057,0.5609486103057861,27844221,22498902
Shrubbery_random,MagicYUV,1.1690454226214289,0.6145529747009277,27844221,23817912
Shrubbery_random,MPEG4,28.353448943016577,0.5865213871002197,27844221,982040
Shrubbery_random,ProRes,3.651062358401822,1.4618494510650635,27844221,7626334
bicycle,UTVIDEO,1.0565909020730269,0.6396348476409912,38802631,36724366
bicycle,MagicYUV,1.0369319147498801,0.7102999687194824,38802631,37420616
bicycle,MPEG4,123.8679650639409,0.6845574378967285,38802631,313258
bicycle,ProRes,2.431783905276657,1.2903871536254883,38802631,15956447
herbs,UTVIDEO,1.1378788223761385,0.6714496612548828,36482887,32062190
herbs,MagicYUV,1.0358249823713586,0.7339496612548828,36482887,35221092
herbs,MPEG4,169.25329850801663,0.6453280448913574,36482887,215552
herbs,ProRes,2.2857002607735017,1.2161753177642822,36482887,15961361
bicycle_random,UTVIDEO,1.0565909020730269,0.22010493278503418,38802631,36724366
bicycle_random,MagicYUV,1.0369280353395318,0.1712322235107422,38802631,37420756
bicycle_random,MPEG4,99.99337975322895,0.16456913948059082,38802631,388052
bicycle_random,ProRes,2.431783905276657,0.6897056102752686,38802631,15956447
herbs_random,UTVIDEO,1.1378788223761385,0.14104151725769043,36482887,32062190
herbs_random,MagicYUV,1.0350714783997563,0.15582799911499023,36482887,35246732
herbs_random,MPEG4,112.32208456740331,0.16389083862304688,36482887,324806
herbs_random,ProRes,2.2857002607735017,0.6040832996368408,36482887,15961361
