Dataset,Algoritmo,Average SSIM,Average PSNR
Messerschmitt,MJPEG,0.9498397137057326,38.69575986580341
Messerschmitt,ProRes,0.9524936753358463,38.504123364687686
Messerschmitt,MPEG4,0.9531612357695185,38.35990087031272


MODIFICA MESSERSCHMITT_RANDOM CON SSIM 0,85:
Messerschmitt_random,FLV1,0.8526143261335006,32.57074525548637
Messerschmitt_random,MJPEG,0.8525131079328697,32.42738462945849
Messerschmitt_random,ProRes,0.8548610683060796,32.54184539575876
Messerschmitt_random,MPEG4,0.8556940709391455,32.755793457215226


MODIFICA MESSERSCHMITT_RANDOM CON SSIM 0,95:
Messerschmitt_random,FLV1,0.953194683910157,38.41815516397759
Messerschmitt_random,MJPEG,0.9498397137057324,38.69575986580341
Messerschmitt_random,ProRes,0.9524936753358465,38.50412336468768
Messerschmitt_random,MPEG4,0.9516386853550145,38.28134705980577


--- DA COPIARE SUL PAPER SENZA PRORES (LA VERSIONE SSIM 0,90 STA SOPRA)


MODIFICA DRAGONS CON SSIM 0,85:
Dragons,FLV1,0.8533030842410505,29.982910499476393
Dragons,MJPEG,0.8559983363768625,30.588370145046575
Dragons,MPEG4,0.8530178133781228,30.053699724426927


MODIFICA DRAGONS CON SSIM 0,95:
Dragons,FLV1,0.9569315172073363,36.772300028430315
Dragons,MJPEG,0.9542680740305245,36.81949743509871
Dragons,MPEG4,0.9566543411928004,36.649174484150095


MODIFICA DRAGONS_RANDOM CON SSIM 0,85:
Dragons_random,FLV1,0.8522770286295966,29.871833670926637
Dragons_random,MJPEG,0.8559983363768625,30.588370145046575
Dragons_random,MPEG4,0.8508604014728809,29.930038391835538


MODIFICA DRAGONS_RANDOM CON SSIM 0,95:
Dragons_random,FLV1,0.9552955005089702,36.627166231071115
Dragons_random,MJPEG,0.9542680740305245,36.81949743509871
Dragons_random,MPEG4,0.9553204609273819,36.52346523409229


MODIFICA MANNEQUIN CON SSIM 0,85:
Mannequin,FLV1,0.8557653794612495,30.58772540629586
Mannequin,MJPEG,0.8531483379324045,30.689243285156024
Mannequin,MPEG4,0.8557205299976393,30.66645013660792


MODIFICA MANNEQUIN CON SSIM 0,95:
Mannequin,FLV1,0.9522220617519725,36.502016592299604
Mannequin,MJPEG,0.9515335339221036,36.81317484236937
Mannequin,MPEG4,0.9516056439043874,36.344685003858764


MODIFICA MANNEQUIN RANDOM CON SSIM 0,85:
Mannequin_random,FLV1,0.8531323205425562,30.401311311307527
Mannequin_random,MJPEG,0.8531483379324043,30.68924328515602
Mannequin_random,MPEG4,0.8538482338079283,30.512785535413457


MODIFICA MANNEQUIN RANDOM CON SSIM 0,95:
Mannequin_random,FLV1,0.9566048157056206,37.163761622626254
Mannequin_random,MJPEG,0.9515335339221036,36.81317484236938
Mannequin_random,MPEG4,0.9547015852029245,37.01585705867337


--- PER I SEGUENTI NON SI RIESCE A SCENDERE SOTTO 0,90 (SOPRATTUTTO CON MJPEG)

MODIFICA ARTGALLERY2 CON SSIM 0,90
ArtGallery2,FLV1,0.9055938812312017,32.37498237608018
ArtGallery2,MJPEG,0.9057660891253481,32.651974535892776
ArtGallery2,MPEG4,0.902972399995937,32.60637607844334


MODIFICA ARTGALLERY2 CON SSIM 0,95
ArtGallery2,FLV1,0.9566975367344212,39.39546908281638
ArtGallery2,MJPEG,0.9568987487432243,40.05306285351403
ArtGallery2,MPEG4,0.9559029649122415,39.27446347108246


MODIFICA ARTGALLERY2 RANDOM CON SSIM 0,90
ArtGallery2_random,FLV1,0.9012609396907215,31.92365458154784
ArtGallery2_random,MJPEG,0.9057660891253481,32.65197453589277
ArtGallery2_random,MPEG4,0.8982264920203868,32.14809650724275


MODIFICA ARTGALLERY2 RANDOM CON SSIM 0,95
ArtGallery2_random,FLV1,0.9546806676774229,39.18867718876998
ArtGallery2_random,MJPEG,0.9568987487432244,40.053062853514035
ArtGallery2_random,MPEG4,0.9533068629602667,39.06558107077685


MODIFICA BLOB CON SSIM 0,90
Blob,FLV1,0.9026668919328339,35.0984011870172
Blob,MJPEG,0.904162818881436,35.03329614674667
Blob,MPEG4,0.9014996016525794,34.938581811612245


MODIFICA BLOB CON SSIM 0,95
Blob,FLV1,0.9541132927625564,39.12082525335211
Blob,MJPEG,0.9576767106770723,39.99824395950301
Blob,MPEG4,0.9580237381443671,39.278555446662345


MODIFICA BLOB RANDOM CON SSIM 0,90
Blob_random,FLV1,0.9020108878662565,35.20940977490332
Blob_random,MJPEG,0.904162818881436,35.03329614674668
Blob_random,MPEG4,0.9054646976245305,35.623988288636724


MODIFICA BLOB RANDOM CON SSIM 0,95
Blob_random,FLV1,0.9574676495541911,39.5800115317448
Blob_random,MJPEG,0.9507018460540985,39.35335528195919
Blob_random,MPEG4,0.9565989926554883,39.443453622115456




CAR NON SCENDE SOTTO IL 0,93 CON MJPEG
DICE NON SCENDE SOTTO IL 0,94 CON MJPEG
FISH NON SCENDE SOTTO IL 0,94 CON MJPEG
